"Name","Att.%","Uld11/7","Uld11/6","Uld11/1","Uld11/1","Uld10/31","Uld10/31","Uld10/30","Uld10/30","Uld10/25","Uld10/24","Uld10/24","Uld10/23","Uld10/23","Uld10/18","Uld10/17","Uld10/16"
"Acturus","100%","","","","","","","","","","","","","","","",""
"Ayriea","81%","","","","","","","","","","","","","","","",""
"Brassi","37%","","","","","","","","","","","","","","","",""
"Brian","100%","","","","","","","","","","","","","","","",""
"Cagliostro","12%","","","","","","","","","","","","","","","",""
"Draigo","100%","","","","","","","","","","","","","","","",""
"Earrl","100%","","","","","","","","","","","","","","","",""
"Grombrindal","68%","","","","","","","","","","","","","","","",""
"Illestra","87%","","","","","","","","","","","","","","","",""
"Invinceble","37%","","","","","","","","","","","","","","","",""
"Jampers","100%","","","","","","","","","","","","","","","",""
"Katanescence","68%","","","","","","","","","","","","","","","",""
"Katheals","6%","","","","","","","","","","","","","","","",""
"Kiwisoda","56%","","","","","","","","","","","","","","","",""
"Kopyelock","81%","","","","","","","","","","","","","","","",""
"Liavre","62%","","","","","","","","","","","","","","","",""
"Metonymy","100%","","","","","","","","","","","","","","","",""
"Mythrose","87%","","","","","","","","","","","","","","","",""
"Noraela","37%","","","","","","","","","","","","","","","",""
"Petrol","100%","","","","","","","","","","","","","","","",""
"Psychodruid","75%","","","","","","","","","","","","","","","",""
"Shadowbaine","93%","","","","","","","","","","","","","","","",""
"Stradlock","100%","","","","","","","","","","","","","","","",""
"Sumi","68%","","","","","","","","","","","","","","","",""
"Tawn","93%","","","","","","","","","","","","","","","",""
"Toy","93%","","","","","","","","","","","","","","","",""
"Uuglei","50%","","","","","","","","","","","","","","","",""
"Vaelyra","68%","","","","","","","","","","","","","","","",""
"Vampyric","75%","","","","","","","","","","","","","","","",""
"Velryssa","75%","","","","","","","","","","","","","","","",""